00001 A00     0 Cholera                                                      Cholera
37659 S3142XD 1 Laceration w foreign body of vagina and vulva, subs encntr   Laceration with foreign body of vagina and vulva, subsequent encounter
37660 S3142XS 1 Laceration with foreign body of vagina and vulva, sequela    Laceration with foreign body of vagina and vulva, sequela
37661 S3143   0 Puncture wound without foreign body of vagina and vulva      Puncture wound without foreign body of vagina and vulva
37662 S3143XA 1 Puncture wound w/o foreign body of vagina and vulva, init    Puncture wound without foreign body of vagina and vulva, initial encounter
37663 S3143XD 1 Puncture wound w/o foreign body of vagina and vulva, subs    Puncture wound without foreign body of vagina and vulva, subsequent encounter
37664 S3143XS 1 Puncture wound w/o foreign body of vagina and vulva, sequela Puncture wound without foreign body of vagina and vulva, sequela
37665 S3144   0 Puncture wound with foreign body of vagina and vulva         Puncture wound with foreign body of vagina and vulva
37666 S3144XA 1 Puncture wound w foreign body of vagina and vulva, init      Puncture wound with foreign body of vagina and vulva, initial encounter
37667 S3144XD 1 Puncture wound w foreign body of vagina and vulva, subs      Puncture wound with foreign body of vagina and vulva, subsequent encounter
37668 S3144XS 1 Puncture wound w foreign body of vagina and vulva, sequela   Puncture wound with foreign body of vagina and vulva, sequela
37669 S3145   0 Open bite of vagina and vulva                                Open bite of vagina and vulva
37670 S3145XA 1 Open bite of vagina and vulva, initial encounter             Open bite of vagina and vulva, initial encounter
37671 S3145XD 1 Open bite of vagina and vulva, subsequent encounter          Open bite of vagina and vulva, subsequent encounter
37672 S3145XS 1 Open bite of vagina and vulva, sequela                       Open bite of vagina and vulva, sequela
37673 S315    0 Open wound of unspecified external genital organs            Open wound of unspecified external genital organs
37674 S3150   0 Unsp open wound of unspecified external genital organs       Unspecified open wound of unspecified external genital organs
37675 S31501  0 Unsp open wound of unspecified external genital organs, male Unspecified open wound of unspecified external genital organs, male
37676 S31501A 1 Unsp open wound of unsp external genital organs, male, init  Unspecified open wound of unspecified external genital organs, male, initial encounter
37677 S31501D 1 Unsp open wound of unsp external genital organs, male, subs  Unspecified open wound of unspecified external genital organs, male, subsequent encounter
37678 S31501S 1 Unsp opn wnd unsp external genital organs, male, sequela     Unspecified open wound of unspecified external genital organs, male, sequela
37679 S31502  0 Unsp open wound of unsp external genital organs, female      Unspecified open wound of unspecified external genital organs, female
37680 S31502A 1 Unsp opn wnd unsp external genital organs, female, init      Unspecified open wound of unspecified external genital organs, female, initial encounter
37681 S31502D 1 Unsp opn wnd unsp external genital organs, female, subs      Unspecified open wound of unspecified external genital organs, female, subsequent encounter
37682 S31502S 1 Unsp opn wnd unsp external genital organs, female, sequela   Unspecified open wound of unspecified external genital organs, female, sequela
37683 S3151   0 Laceration w/o foreign body of unsp external genital organs  Laceration without foreign body of unspecified external genital organs
37684 S31511  0 Laceration w/o fb of unsp external genital organs, male      Laceration without foreign body of unspecified external genital organs, male
37685 S31511A 1 Lac w/o fb of unsp external genital organs, male, init       Laceration without foreign body of unspecified external genital organs, male, initial encounter
37686 S31511D 1 Lac w/o fb of unsp external genital organs, male, subs       Laceration without foreign body of unspecified external genital organs, male, subsequent encounter
37687 S31511S 1 Lac w/o fb of unsp external genital organs, male, sequela    Laceration without foreign body of unspecified external genital organs, male, sequela
37688 S31512  0 Laceration w/o fb of unsp external genital organs, female    Laceration without foreign body of unspecified external genital organs, female
37689 S31512A 1 Lac w/o fb of unsp external genital organs, female, init     Laceration without foreign body of unspecified external genital organs, female, initial encounter
37690 S31512D 1 Lac w/o fb of unsp external genital organs, female, subs     Laceration without foreign body of unspecified external genital organs, female, subsequent encounter
37691 S31512S 1 Lac w/o fb of unsp external genital organs, female, sequela  Laceration without foreign body of unspecified external genital organs, female, sequela
37692 S3152   0 Laceration with foreign body of unsp external genital organs Laceration with foreign body of unspecified external genital organs
37693 S31521  0 Laceration w fb of unsp external genital organs, male        Laceration with foreign body of unspecified external genital organs, male
37694 S31521A 1 Laceration w fb of unsp external genital organs, male, init  Laceration with foreign body of unspecified external genital organs, male, initial encounter
37695 S31521D 1 Laceration w fb of unsp external genital organs, male, subs  Laceration with foreign body of unspecified external genital organs, male, subsequent encounter
37696 S31521S 1 Lac w fb of unsp external genital organs, male, sequela      Laceration with foreign body of unspecified external genital organs, male, sequela
37697 S31522  0 Laceration w fb of unsp external genital organs, female      Laceration with foreign body of unspecified external genital organs, female
37698 S31522A 1 Lac w fb of unsp external genital organs, female, init       Laceration with foreign body of unspecified external genital organs, female, initial encounter
37699 S31522D 1 Lac w fb of unsp external genital organs, female, subs       Laceration with foreign body of unspecified external genital organs, female, subsequent encounter
37700 S31522S 1 Lac w fb of unsp external genital organs, female, sequela    Laceration with foreign body of unspecified external genital organs, female, sequela
37701 S3153   0 Pnctr w/o foreign body of unsp external genital organs       Puncture wound without foreign body of unspecified external genital organs
37702 S31531  0 Pnctr w/o foreign body of unsp external genital organs, male Puncture wound without foreign body of unspecified external genital organs, male
37703 S31531A 1 Pnctr w/o fb of unsp external genital organs, male, init     Puncture wound without foreign body of unspecified external genital organs, male, initial encounter
37704 S31531D 1 Pnctr w/o fb of unsp external genital organs, male, subs     Puncture wound without foreign body of unspecified external genital organs, male, subsequent encounter
37705 S31531S 1 Pnctr w/o fb of unsp external genital organs, male, sequela  Puncture wound without foreign body of unspecified external genital organs, male, sequela
37706 S31532  0 Pnctr w/o fb of unsp external genital organs, female         Puncture wound without foreign body of unspecified external genital organs, female
37707 S31532A 1 Pnctr w/o fb of unsp external genital organs, female, init   Puncture wound without foreign body of unspecified external genital organs, female, initial encounter
37708 S31532D 1 Pnctr w/o fb of unsp external genital organs, female, subs   Puncture wound without foreign body of unspecified external genital organs, female, subsequent encounter
37709 S31532S 1 Pnctr w/o fb of unsp extrn genital organs, female, sequela   Puncture wound without foreign body of unspecified external genital organs, female, sequela
37710 S3154   0 Pnctr w foreign body of unsp external genital organs         Puncture wound with foreign body of unspecified external genital organs
37711 S31541  0 Pnctr w foreign body of unsp external genital organs, male   Puncture wound with foreign body of unspecified external genital organs, male
37712 S31541A 1 Pnctr w fb of unsp external genital organs, male, init       Puncture wound with foreign body of unspecified external genital organs, male, initial encounter
37713 S31541D 1 Pnctr w fb of unsp external genital organs, male, subs       Puncture wound with foreign body of unspecified external genital organs, male, subsequent encounter
37714 S31541S 1 Pnctr w fb of unsp external genital organs, male, sequela    Puncture wound with foreign body of unspecified external genital organs, male, sequela
37715 S31542  0 Pnctr w foreign body of unsp external genital organs, female Puncture wound with foreign body of unspecified external genital organs, female
37716 S31542A 1 Pnctr w fb of unsp external genital organs, female, init     Puncture wound with foreign body of unspecified external genital organs, female, initial encounter
37717 S31542D 1 Pnctr w fb of unsp external genital organs, female, subs     Puncture wound with foreign body of unspecified external genital organs, female, subsequent encounter
37718 S31542S 1 Pnctr w fb of unsp external genital organs, female, sequela  Puncture wound with foreign body of unspecified external genital organs, female, sequela
37719 S3155   0 Open bite of unspecified external genital organs             Open bite of unspecified external genital organs
37720 S31551  0 Open bite of unspecified external genital organs, male       Open bite of unspecified external genital organs, male
37721 S31551A 1 Open bite of unsp external genital organs, male, init encntr Open bite of unspecified external genital organs, male, initial encounter
37722 S31551D 1 Open bite of unsp external genital organs, male, subs encntr Open bite of unspecified external genital organs, male, subsequent encounter
37723 S31551S 1 Open bite of unsp external genital organs, male, sequela     Open bite of unspecified external genital organs, male, sequela
37724 S31552  0 Open bite of unspecified external genital organs, female     Open bite of unspecified external genital organs, female
37725 S31552A 1 Open bite of unsp external genital organs, female, init      Open bite of unspecified external genital organs, female, initial encounter
37726 S31552D 1 Open bite of unsp external genital organs, female, subs      Open bite of unspecified external genital organs, female, subsequent encounter
37727 S31552S 1 Open bite of unsp external genital organs, female, sequela   Open bite of unspecified external genital organs, female, sequela
37728 S316    0 Open wound of abdominal wall w penetration into perit cav    Open wound of abdominal wall with penetration into peritoneal cavity
37729 S3160   0 Unsp open wound of abdominal wall w penet perit cav          Unspecified open wound of abdominal wall with penetration into peritoneal cavity
37730 S31600  0 Unsp opn wnd abd wall, right upper q w penet perit cav       Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37731 S31600A 1 Unsp opn wnd abd wall, right upper q w penet perit cav, init Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37732 S31600D 1 Unsp opn wnd abd wall, right upper q w penet perit cav, subs Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37733 S31600S 1 Unsp opn wnd abd wall, right upper q w penet perit cav, sqla Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37734 S31601  0 Unsp open wound of abdominal wall, l upr q w penet perit cav Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37735 S31601A 1 Unsp open wound of abd wall, l upr q w penet perit cav, init Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37736 S31601D 1 Unsp open wound of abd wall, l upr q w penet perit cav, subs Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37737 S31601S 1 Unsp opn wnd abd wall, l upr q w penet perit cav, sequela    Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
37738 S31602  0 Unsp open wound of abd wall, epigst rgn w penet perit cav    Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity
37739 S31602A 1 Unsp opn wnd abd wall, epigst rgn w penet perit cav, init    Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37740 S31602D 1 Unsp opn wnd abd wall, epigst rgn w penet perit cav, subs    Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37741 S31602S 1 Unsp opn wnd abd wall, epigst rgn w penet perit cav, sequela Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37742 S31603  0 Unsp opn wnd abd wall, right lower q w penet perit cav       Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37743 S31603A 1 Unsp opn wnd abd wall, right lower q w penet perit cav, init Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37744 S31603D 1 Unsp opn wnd abd wall, right lower q w penet perit cav, subs Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37745 S31603S 1 Unsp opn wnd abd wall, right lower q w penet perit cav, sqla Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37746 S31604  0 Unsp opn wnd abd wall, left lower quadrant w penet perit cav Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37747 S31604A 1 Unsp opn wnd abd wall, left lower q w penet perit cav, init  Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37748 S31604D 1 Unsp opn wnd abd wall, left lower q w penet perit cav, subs  Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37749 S31604S 1 Unsp opn wnd abd wall, left lower q w penet perit cav, sqla  Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37750 S31605  0 Unsp open wound of abd wall, periumb rgn w penet perit cav   Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity
37751 S31605A 1 Unsp opn wnd abd wall, periumb rgn w penet perit cav, init   Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37752 S31605D 1 Unsp opn wnd abd wall, periumb rgn w penet perit cav, subs   Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37753 S31605S 1 Unsp opn wnd abd wall, periumb rgn w penet perit cav, sqla   Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37754 S31609  0 Unsp open wound of abd wall, unsp quadrant w penet perit cav Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37755 S31609A 1 Unsp opn wnd abd wall, unsp quadrant w penet perit cav, init Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37756 S31609D 1 Unsp opn wnd abd wall, unsp quadrant w penet perit cav, subs Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37757 S31609S 1 Unsp opn wnd abd wall, unsp q w penet perit cav, sequela     Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37758 S3161   0 Laceration w/o foreign body of abd wall w penet perit cav    Laceration without foreign body of abdominal wall with penetration into peritoneal cavity
37759 S31610  0 Lac w/o fb of abd wall, right upper q w penet perit cav      Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37760 S31610A 1 Lac w/o fb of abd wall, r upper q w penet perit cav, init    Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37761 S31610D 1 Lac w/o fb of abd wall, r upper q w penet perit cav, subs    Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37762 S31610S 1 Lac w/o fb of abd wall, r upper q w penet perit cav, sqla    Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37763 S31611  0 Laceration w/o fb of abd wall, l upr q w penet perit cav     Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37764 S31611A 1 Lac w/o fb of abd wall, l upr q w penet perit cav, init      Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37765 S31611D 1 Lac w/o fb of abd wall, l upr q w penet perit cav, subs      Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37766 S31611S 1 Lac w/o fb of abd wall, l upr q w penet perit cav, sequela   Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
37767 S31612  0 Laceration w/o fb of abd wall, epigst rgn w penet perit cav  Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity
37768 S31612A 1 Lac w/o fb of abd wall, epigst rgn w penet perit cav, init   Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37769 S31612D 1 Lac w/o fb of abd wall, epigst rgn w penet perit cav, subs   Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37770 S31612S 1 Lac w/o fb of abd wall, epigst rgn w penet perit cav, sqla   Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37771 S31613  0 Lac w/o fb of abd wall, right lower q w penet perit cav      Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37772 S31613A 1 Lac w/o fb of abd wall, right low q w penet perit cav, init  Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37773 S31613D 1 Lac w/o fb of abd wall, right low q w penet perit cav, subs  Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37774 S31613S 1 Lac w/o fb of abd wall, right low q w penet perit cav, sqla  Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37775 S31614  0 Lac w/o fb of abd wall, left lower q w penet perit cav       Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37776 S31614A 1 Lac w/o fb of abd wall, left lower q w penet perit cav, init Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37777 S31614D 1 Lac w/o fb of abd wall, left lower q w penet perit cav, subs Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37778 S31614S 1 Lac w/o fb of abd wall, left lower q w penet perit cav, sqla Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37779 S31615  0 Laceration w/o fb of abd wall, periumb rgn w penet perit cav Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity
37780 S31615A 1 Lac w/o fb of abd wall, periumb rgn w penet perit cav, init  Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37781 S31615D 1 Lac w/o fb of abd wall, periumb rgn w penet perit cav, subs  Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37782 S31615S 1 Lac w/o fb of abd wall, periumb rgn w penet perit cav, sqla  Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37783 S31619  0 Lac w/o fb of abd wall, unsp quadrant w penet perit cav      Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37784 S31619A 1 Lac w/o fb of abd wall, unsp q w penet perit cav, init       Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37785 S31619D 1 Lac w/o fb of abd wall, unsp q w penet perit cav, subs       Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37786 S31619S 1 Lac w/o fb of abd wall, unsp q w penet perit cav, sequela    Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37787 S3162   0 Laceration w foreign body of abd wall w penet perit cav      Laceration with foreign body of abdominal wall with penetration into peritoneal cavity
37788 S31620  0 Lac w fb of abd wall, right upper quadrant w penet perit cav Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37789 S31620A 1 Lac w fb of abd wall, right upper q w penet perit cav, init  Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37790 S31620D 1 Lac w fb of abd wall, right upper q w penet perit cav, subs  Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37791 S31620S 1 Lac w fb of abd wall, right upper q w penet perit cav, sqla  Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37792 S31621  0 Laceration w fb of abd wall, l upr q w penet perit cav       Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37793 S31621A 1 Laceration w fb of abd wall, l upr q w penet perit cav, init Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37794 S31621D 1 Laceration w fb of abd wall, l upr q w penet perit cav, subs Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37795 S31621S 1 Lac w fb of abd wall, l upr q w penet perit cav, sequela     Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
37796 S31622  0 Laceration w fb of abd wall, epigst rgn w penet perit cav    Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity
37797 S31622A 1 Lac w fb of abd wall, epigst rgn w penet perit cav, init     Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37798 S31622D 1 Lac w fb of abd wall, epigst rgn w penet perit cav, subs     Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37799 S31622S 1 Lac w fb of abd wall, epigst rgn w penet perit cav, sequela  Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37800 S31623  0 Lac w fb of abd wall, right lower quadrant w penet perit cav Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37801 S31623A 1 Lac w fb of abd wall, right lower q w penet perit cav, init  Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37802 S31623D 1 Lac w fb of abd wall, right lower q w penet perit cav, subs  Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37803 S31623S 1 Lac w fb of abd wall, right lower q w penet perit cav, sqla  Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37804 S31624  0 Lac w fb of abd wall, left lower quadrant w penet perit cav  Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37805 S31624A 1 Lac w fb of abd wall, left lower q w penet perit cav, init   Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37806 S31624D 1 Lac w fb of abd wall, left lower q w penet perit cav, subs   Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37807 S31624S 1 Lac w fb of abd wall, left lower q w penet perit cav, sqla   Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37808 S31625  0 Laceration w fb of abd wall, periumb rgn w penet perit cav   Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity
37809 S31625A 1 Lac w fb of abd wall, periumb rgn w penet perit cav, init    Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37810 S31625D 1 Lac w fb of abd wall, periumb rgn w penet perit cav, subs    Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37811 S31625S 1 Lac w fb of abd wall, periumb rgn w penet perit cav, sequela Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37812 S31629  0 Laceration w fb of abd wall, unsp quadrant w penet perit cav Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37813 S31629A 1 Lac w fb of abd wall, unsp quadrant w penet perit cav, init  Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37814 S31629D 1 Lac w fb of abd wall, unsp quadrant w penet perit cav, subs  Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37815 S31629S 1 Lac w fb of abd wall, unsp q w penet perit cav, sequela      Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37816 S3163   0 Pnctr w/o foreign body of abd wall w penet perit cav         Puncture wound without foreign body of abdominal wall with penetration into peritoneal cavity
37817 S31630  0 Pnctr w/o fb of abd wall, right upper q w penet perit cav    Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37818 S31630A 1 Pnctr w/o fb of abd wall, r upper q w penet perit cav, init  Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37819 S31630D 1 Pnctr w/o fb of abd wall, r upper q w penet perit cav, subs  Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37820 S31630S 1 Pnctr w/o fb of abd wall, r upper q w penet perit cav, sqla  Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37821 S31631  0 Pnctr w/o fb of abd wall, l upr q w penet perit cav          Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37822 S31631A 1 Pnctr w/o fb of abd wall, l upr q w penet perit cav, init    Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37823 S31631D 1 Pnctr w/o fb of abd wall, l upr q w penet perit cav, subs    Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37824 S31631S 1 Pnctr w/o fb of abd wall, l upr q w penet perit cav, sequela Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
37825 S31632  0 Pnctr w/o fb of abd wall, epigst rgn w penet perit cav       Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity
37826 S31632A 1 Pnctr w/o fb of abd wall, epigst rgn w penet perit cav, init Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37827 S31632D 1 Pnctr w/o fb of abd wall, epigst rgn w penet perit cav, subs Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37828 S31632S 1 Pnctr w/o fb of abd wall, epigst rgn w penet perit cav, sqla Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37829 S31633  0 Pnctr w/o fb of abd wall, right lower q w penet perit cav    Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37830 S31633A 1 Pnctr w/o fb of abd wall, r low q w penet perit cav, init    Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37831 S31633D 1 Pnctr w/o fb of abd wall, r low q w penet perit cav, subs    Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37832 S31633S 1 Pnctr w/o fb of abd wall, r low q w penet perit cav, sqla    Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37833 S31634  0 Pnctr w/o fb of abd wall, left lower q w penet perit cav     Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37834 S31634A 1 Pnctr w/o fb of abd wall, left low q w penet perit cav, init Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37835 S31634D 1 Pnctr w/o fb of abd wall, left low q w penet perit cav, subs Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37836 S31634S 1 Pnctr w/o fb of abd wall, left low q w penet perit cav, sqla Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37837 S31635  0 Pnctr w/o fb of abd wall, periumb rgn w penet perit cav      Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity
37838 S31635A 1 Pnctr w/o fb of abd wl, periumb rgn w penet perit cav, init  Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37839 S31635D 1 Pnctr w/o fb of abd wl, periumb rgn w penet perit cav, subs  Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37840 S31635S 1 Pnctr w/o fb of abd wl, periumb rgn w penet perit cav, sqla  Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37841 S31639  0 Pnctr w/o fb of abd wall, unsp quadrant w penet perit cav    Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37842 S31639A 1 Pnctr w/o fb of abd wall, unsp q w penet perit cav, init     Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37843 S31639D 1 Pnctr w/o fb of abd wall, unsp q w penet perit cav, subs     Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37844 S31639S 1 Pnctr w/o fb of abd wall, unsp q w penet perit cav, sequela  Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37845 S3164   0 Puncture wound w foreign body of abd wall w penet perit cav  Puncture wound with foreign body of abdominal wall with penetration into peritoneal cavity
37846 S31640  0 Pnctr w fb of abd wall, right upper q w penet perit cav      Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37847 S31640A 1 Pnctr w fb of abd wall, r upper q w penet perit cav, init    Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37848 S31640D 1 Pnctr w fb of abd wall, r upper q w penet perit cav, subs    Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37849 S31640S 1 Pnctr w fb of abd wall, r upper q w penet perit cav, sqla    Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37850 S31641  0 Pnctr w foreign body of abd wall, l upr q w penet perit cav  Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37851 S31641A 1 Pnctr w fb of abd wall, l upr q w penet perit cav, init      Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37852 S31641D 1 Pnctr w fb of abd wall, l upr q w penet perit cav, subs      Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37853 S31641S 1 Pnctr w fb of abd wall, l upr q w penet perit cav, sequela   Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
